SITE_ID,SITE_NAME,AREA_NAME_SUB_DISTRICT,X_LONGITUDE,Y_LATITUDE,CITY_OR_DATI_II,AREA,BRANCH,PROVINCE,REGION,SITE_OWNERSHIP,TOWER_OWNERSHIP,COLOCATION_Y_OR_N,SITE_TYPE_GF_OR_RT_OR_MICROCELL_OR_INDOOR,HEIGHT_EXISTING_BUILDING_M,HEIGHT_TOWER_M,BTS_COVERAGE_TYPE_MACRO_OR_MICRO_OR_IBS
02PDS0097,HUTARAJA_TINGGI_TB,HUTA RAJA TINGGI,100.09886,1.14741,PADANG LAWAS,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PDS0098,SUNGAI_KORANG_PL,HUTA RAJA TINGGI,100.15667,1.12842,PADANG LAWAS,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,72,MACRO
02PDS0099,GKPA_TINJOMAN_MT,PADANGSIDIMPUAN HUTAIMBARU,99.2266,1.43433,KOTA PADANG SIDIMPUAN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,DMT,DMT,Y,GF,,72,MACRO
02PMR0001,SILIMA_KUTA_TB,PAMATANG SILIMAHUTA,98.5751,2.9373,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0002,SARIBU_JANDI_TB,PAMATANG SILIMAHUTA,98.5793,2.98298,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,42,MACRO
02PMR0005,SERIBU_DOLOK_EP,SILIMAKUTA,98.61069,2.93429,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,EMA,EMA,Y,GF,,80,MACRO
02PMR0006,SMP_NEGRI_PURBA_PL,SILIMAKUTA,98.61288,2.94381,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,71,MACRO
02PMR0007,PARIBUN_TB,DOLOK SILAU,98.64001,3.02175,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
02PMR0008,HARANGGAOL_ST,HARANGGAOL HORISON,98.67473,2.87803,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,STP,STP,Y,GF,,42,MACRO
02PMR0009,PEMATANGPURBAPURBA_PL,PURBA,98.67683,2.91681,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,PROTELINDO,PROTELINDO,Y,GF,,64,MACRO
02PMR0010,SARAN_PADANG_TB,DOLOK SILAU,98.67872,3.03792,SIMALUNGUN,NORTH SUMATERA,SIANTAR SIDEMPUAN,SUMATERA UTARA,NORTH SUMATERA,TBG,TBG,Y,GF,,72,MACRO
